BuildYear,DealYear,DealMonth,DealDay,Dong,Jibun,Deposit,Apartment_Name,Monthly_Rent,Area_for_ExclusiveUse,Regional_Code,Floor
2013,2015,1,2,면목동,109-78,"14,000",플로렌스빌,0,28.98,11260,4
2009,2015,1,3,면목동,42-49,"16,000",소파빌라트,0,60.84,11260,3
2013,2015,1,3,면목동,137-5,"6,000",삼성트윈빌,55,41.72,11260,5
1994,2015,1,5,면목동,190-14,"8,000",(190-14),0,57.93,11260,1
2002,2015,1,5,면목동,142-12,"14,000",정일빌라,0,64.18,11260,1
2003,2015,1,6,면목동,142-44,"15,000",조호아트빌,0,50.73,11260,2
1994,2015,1,6,면목동,136-89,"15,000",어울빌라,0,53.55,11260,2
2013,2015,1,6,면목동,137-5,"6,000",삼성트윈빌,55,44.72,11260,6
2012,2015,1,6,면목동,1163-3,"2,000",이오하우스,30,15.3,11260,3
2011,2015,1,6,면목동,63-51,"2,000",푸르메빌,50,29.46,11260,2
1993,2015,1,6,면목동,1173,"1,000",1173,65,62.26,11260,1
2012,2015,1,7,면목동,1342-8,"17,000",용마산타워,0,33.91,11260,3
1989,2015,1,8,면목동,507-3,"7,500","동흥파크빌라A,B",0,38.16,11260,2
2002,2015,1,8,면목동,198-26,"9,000",도원아트빌,0,69.24,11260,4
2009,2015,1,9,면목동,181-24,"9,000",트윈스빌(A동),10,36.68,11260,3
1991,2015,1,9,면목동,138-60,"1,000",정호맨션,50,84.63,11260,0
2014,2015,1,10,면목동,158-36,"6,000",로즈힐하우스,30,14.85,11260,5
2012,2015,1,10,면목동,185-69,"16,000",라온홈타운,10,55.12,11260,2
2012,2015,1,10,면목동,1342-8,"17,000",용마산타워,0,33.91,11260,6
2001,2015,1,10,면목동,1293,"16,000",공간골든빌,0,59.63,11260,3
1992,2015,1,10,면목동,137-56,"12,000",현대(아트)빌라(B),0,45.11,11260,4
2001,2015,1,11,면목동,393-72,"18,000",삼우빌라,0,64.615,11260,5
2012,2015,1,12,면목동,121-9,"1,000",씨티플러스,45,12.09,11260,3
2001,2015,1,13,면목동,1174-1,"5,000",월드빌(에이동)(비동),50,56.67,11260,3
2003,2015,1,13,면목동,648-12,"4,000",수성빌라,50,33.76,11260,3
2002,2015,1,13,면목동,127-1,"17,000",진한아트빌,0,54.84,11260,2
2008,2015,1,14,면목동,185-144,"13,000",동일빌라,0,42.65,11260,3
2011,2015,1,15,면목동,175-75,"12,000",JOY타운,0,67.75,11260,5
2002,2015,1,15,면목동,145-19,"7,000",덕산맨션,0,36.34,11260,-1
2007,2015,1,15,면목동,141-60,"14,000",현성빌1차,0,37.44,11260,2
2003,2015,1,15,면목동,171-57,"8,500",두산빌라,20,72.01,11260,1
2013,2015,1,16,면목동,365-29,"6,000",카르페디엠,0,19,11260,3
2014,2015,1,16,면목동,389-21,"21,000",테미하우스2차103동,0,35.06,11260,3
2008,2015,1,18,면목동,580-22,"17,500",성진빌라,0,47.21,11260,3
2012,2015,1,18,면목동,550-32,"15,000","브라운하우스(A동,B동)",0,42.52,11260,6
2009,2015,1,19,면목동,181-24,"16,000",트윈스빌(A동),0,65.56,11260,3
2012,2015,1,19,면목동,121-9,500,씨티플러스,40,12.09,11260,3
1983,2015,1,20,면목동,115-20,"2,000",강호빌라,55,73.56,11260,3
2014,2015,1,20,면목동,341-9,"16,000",드림하우스(341-9),0,37.12,11260,6
2004,2015,1,21,면목동,126-47,"5,000",(126-47),40,46,11260,5
1980,2015,1,21,면목동,1375,"6,000",(1375-0),0,86.58,11260,1
2002,2015,1,22,면목동,129-34,"10,500",청백빌라(A),0,42.59,11260,1
2011,2015,1,22,면목동,180-86,"5,000",예성그린빌,50,49.71,11260,7
2011,2015,1,23,면목동,377-2,"10,000",SD찬누리채,40,41.39,11260,3
2012,2015,1,23,면목동,1163-3,"1,000",이오하우스,40,15.3,11260,3
2014,2015,1,23,면목동,533-18,"15,000",삼정드림빌,0,38.3,11260,3
2002,2015,1,24,면목동,375-3,"17,000",면목골드빌라,0,57.2,11260,5
2012,2015,1,24,면목동,454-3,"17,000",킴스빌,0,35,11260,4
1991,2015,1,25,면목동,527-300,"1,000","청산주택3동(가,나)",30,50.7,11260,-1
