,약국명,주소,전화번호,토요일영업여부,일요일영업여부,토요일종료시간,일요일종료시간
0,100세건강약국,"서울특별시 강남구 헌릉로571길 7, 강남레체 1층 101호 (세곡동)",02-445-1460,Y,N,1900,None
1,100세약국,"서울특별시 영등포구 양평로 24, (당산동6가)",02-2678-8217,Y,N,1700,None
2,1898광장약국,"서울특별시 중구 명동길 74, 카톨릭회관 신관 B113호 (명동2가)",02-0000-0000,Y,Y,2000,2000
3,1번약국,서울특별시 관악구 남부순환로 1832 1층,02-872-7583,Y,Y,1700,1500
4,1번약국,"서울특별시 관악구 남부순환로 1832, 1층 1호 (봉천동)",02-882-7583,Y,Y,1700,1500
5,1번약국,서울특별시 구로구 구로동로 132 (구로동),02-851-1155,Y,N,1700,None
6,1번출구새싹약국,"서울특별시 노원구 화랑로 337, 102호 (월계동)",02-919-7167,Y,N,1500,None
7,1층메디컬약국,"서울특별시 금천구 시흥대로 214, 비즈메드빌딩 1층 102호 (시흥동)",02-891-1112,Y,Y,1530,1600
8,1층엔약국,"서울특별시 강남구 강남대로 624, ICT TOWER 1층 일부호 (신사동)",02-518-3014,Y,N,1600,None
9,1층천호약국,"서울특별시 강동구 천호대로 1006, 브라운스톤천호 105호 (성내동)",02-478-1178,Y,N,1530,None
10,1층호약국,"서울특별시 노원구 한글비석로 383, 1층 일부호 (중계동, 삼창타워프라자)",02-933-9487,Y,N,1700,None
11,21C세계로약국,"서울특별시 강서구 화곡로 173 , 1층",02-2607-0624,Y,N,1700,None
12,21세기고려약국,서울특별시 성북구 고려대로 80 (안암동5가),02-929-9696,Y,N,1800,None
13,21세기메디칼약국,서울특별시 성동구 무수막길 97  (금호동2가),02-2252-6626,Y,N,2100,None
14,21세기상계약국,서울특별시 노원구 동일로 1548 (상계동),02-937-2288,Y,Y,1700,1500
15,21세기신천지약국,서울특별시 영등포구 영등포로 232-1 ,02-2678-3222,Y,N,1900,None
16,21세기약국,"서울특별시 광진구 용마산로 49, (중곡동)",02-2201-9469,Y,N,2000,None
17,21세기약국,서울특별시 영등포구 여의대방로 177  (신길동),02-2678-2854,Y,N,2100,None
18,21세기약국,서울특별시 관악구 신림로 370 (신림동),02-888-2272,Y,N,1500,None
19,2층바른약국,"서울특별시 중구 다산로11길 3, 약수JK빌딩 2층 (신당동)",02-2233-6267,Y,N,1500,None
20,2층소망약국,"서울특별시 양천구 월정로 50, 209호 (신월동, 청솔아파트)",02-2608-8096,Y,N,1300,None
21,2층스타약국,"서울특별시 은평구 통일로 1034, 2층 210호 (진관동, 은평 스카이뷰 자이)",02-357-8889,Y,N,1400,None
22,2층써밋약국,"서울특별시 용산구 한강대로 69, 상가동 2층 222-2호 (한강로2가, 용산푸르지오써밋)",02-797-8920,Y,N,1730,None
23,2층약국,"서울특별시 강남구 개포로 303, 상가동 2층 207호 (개포동, 현대1차아파트)",02-2057-2003,Y,N,1330,None
24,2층은약국,"서울특별시 동작구 현충로 75, 원불교100년기념관 (흑석동)",02-6484-8248,Y,N,1510,None
25,2층은약국,"서울특별시 서초구 서초중앙로 230, 2층 208호 (반포동, 동화반포프라자상가)",02-535-5524,Y,N,1430,None
26,2층정약국,"서울특별시 영등포구 여의대방로 383, 경도빌딩 2층 215,216호 (여의도동)",02-780-0304,Y,N,1300,None
27,2층종로약국,"서울특별시 은평구 통일로 856, 메트로타워 2층 2101~2103호 (불광동)",02-525-5603,Y,N,1400,None
28,2층하늘약국,"서울특별시 마포구 월드컵북로 230, 201호 (중동, 현대상가)",02-303-4290,Y,N,1400,None
29,365 새누리약국,"서울특별시 양천구 등촌로 32, 목동태영프라자 102호 (목동)",02-2648-1858,Y,Y,2100,2100
30,365강남역약국,"서울특별시 강남구 강남대로 지하396, 강남역 103-104호 (역삼동)",02-554-5628,Y,Y,2300,2300
31,365구생약국,"서울특별시 은평구 통일로 739, 1층 (대조동)",02-353-1144,Y,Y,2100,2100
32,365그랜드약국,"서울특별시 금천구 시흥대로62길 29, 1층 (시흥동)",02-896-1223,Y,Y,2130,2130
33,365그린약국,"서울특별시 강서구 강서로 43, B104호 (화곡동, 도양라비앙타워)",02-2602-8006,Y,N,2100,None
34,365마트약국,"서울특별시 영등포구 영중로 125, 롯데마트 1층 (영등포동8가)",02-2633-4865,Y,Y,2200,2200
35,365미소약국,"서울특별시 은평구 진관3로 11, 1층 (진관동, 은평뉴타운 힐데스하임)",02-387-1123,Y,Y,2000,1800
36,365밝은약국,"서울특별시 중랑구 면목로39길 8, 한성빌딩 (면목동)",02-435-0365,Y,N,1700,None
37,365샘약국,"서울특별시 강서구 양천로 424, 가양역 데시앙플렉스 지식산업센터 131호 (등촌동)",02-2054-6949,Y,Y,1900,1900
38,365서초메트로약국,"서울특별시 서초구 서초대로 지하233, 서초역 지하1층 106호 (서초동)",050-713-3435,Y,Y,1800,1800
39,365송파고은약국,"서울특별시 송파구 오금로 95, 국제빌딩 1층 (방이동)",02-417-0503,Y,Y,1500,1300
