시점,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
2010,6.36,6.01,6.04,5.94,5.76,5.97,6.25,5.82,5.87,5.97,5.61,5.82,5.8,6.26,6.2,5.89,5.98,5.98,5.92,5.7,5.56,6.03,5.97,6.1,5.85
2011,7.1,6.49,6.08,5.95,6,6.24,5.97,6.03,6.28,5.92,5.81,6.42,5.79,5.62,6.63,5.55,5.57,6.07,6.36,6.06,5.7,6.26,6,5.52,5.79
2012,6.25,6.34,6.36,6.22,6.37,6.46,6.3,6.1,6.26,6.51,6.12,6.8,5.9,6.66,6.78,5.07,5.88,6.23,6.4,6.37,6.22,6.31,5.74,6.2,5.91
2013,6.74,6.49,6.73,6.19,6.77,6.45,6.16,6.09,5.97,6.25,5.7,6.92,6.23,5.9,7.01,6.17,7.08,6.65,6.21,6.68,6.1,6.65,6.05,6.55,6.25
2014,6.35,6.25,5.78,6.13,6.08,6.19,6.32,5.83,6.26,6.17,5.23,6.37,6.15,6.18,6.85,6.03,6.43,5.96,6.41,5.7,5.47,6.12,6.77,5.57,6.08
2015,6.23,6.06,6.16,6.31,6.19,6.28,6.19,6.33,5.99,6.41,5.54,6.1,6.26,5.93,6.32,6,6.29,6.03,6.27,6.26,5.5,6.32,6.48,5.96,6.24
2016,6.33,6.33,5.94,6.13,6.2,6.01,6.36,6.24,6.14,6.25,6.13,6.25,5.93,6.06,6.5,6.09,6.05,6.26,6.02,6.11,5.98,6.41,6.11,6.43,5.77
2017,6.57,6.25,6.18,6.2,6.45,6.11,6.19,5.97,6.27,6.34,5.97,6.3,5.96,6.09,6.38,6.02,5.9,6.23,5.94,6.4,5.86,6.25,5.97,6.07,6.04
2018,6.53,6.37,6.19,6.34,6.18,6.13,6.39,6.14,6.05,6.32,6,6.34,6.43,6.02,6.52,6.02,6.04,6.63,6.03,6.15,6.53,6.28,5.83,5.94,5.98
2019,6.4,6.09,6.2,6.11,6.71,6.68,6.63,6.08,6.07,6.45,6.43,6.54,6.69,6.38,6.65,6.47,5.99,6.67,6.44,6.34,6.16,6.19,6.43,6.39,6.39
2020,6.44,6.57,6.22,6.37,6.16,6.03,6.59,6.32,6.41,6.31,6.1,6.27,6.44,6.21,6.59,6.3,6.45,6.48,6.29,6.38,6.41,6.37,6.1,6.43,6.52
2021,6.54,6.27,6.47,6.32,6.32,6.29,6.42,6.45,6.49,6.31,6.37,6.34,6.59,6.5,6.55,6.53,6.48,6.51,6.27,6.43,6.28,6.4,6.48,6.53,6.24
2022,7.11,7.28,7.72,7.25,7.36,6.93,7.1,7.02,8.51,6.79,7.24,7.33,7.13,7.37,7.62,7.39,7.1,7.58,6.83,5.74,6.82,6.97,7.3,6.91,6.7
