date,build_year,dong,jibun,floor,use_area,total_deposit
201501,1986,하왕십리동,890-401,3,39.7,15000
201501,2012,하왕십리동,890-114,4,13.97,8714
201501,1977,홍익동,125,3,85.36,17000
201501,2014,홍익동,367,2,27.45,19000
201501,2012,도선동,188,5,17.56,11714
201501,1996,도선동,332,1,50.76,18000
201501,2012,마장동,388-16,5,74.82,22000
201501,2013,마장동,339-11,4,12.09,11666
201501,1982,마장동,783-3,2,60.2,15000
201501,2013,마장동,469-6,4,23.28,15000
201501,2013,마장동,388-20,2,12.87,9000
201501,2013,마장동,801-11,4,12.02,9666
201501,2007,마장동,388-43,4,30.83,9000
201501,2012,마장동,388-45,4,14.72,10523
201501,2013,마장동,399-57,3,13.4,8714
201501,1984,마장동,793-23,2,66.4,18000
201501,2012,마장동,388-16,2,17.23,9500
201501,2013,마장동,778-12,3,17.82,11523
201501,2002,마장동,399-92,4,49.15,20000
201501,1982,마장동,784-2,3,50.02,15000
201501,2013,마장동,388-20,3,13.46,11047
201501,2012,마장동,388-45,2,15,8714
201501,2003,사근동,180-3,3,17.07,6000
201501,2015,사근동,176-8,3,20.51,9071
201501,2003,사근동,176-9,3,50.45,11095
201501,2004,사근동,188-6,2,22.68,8714
201501,2015,사근동,176-32,2,13.77,13428
201501,1986,사근동,176-23,1,15.13,6000
201501,2004,사근동,213-2,4,11.06,6500
201501,2015,사근동,176-32,4,13,10619
201501,2004,사근동,213-2,3,15.2,5500
201501,2015,사근동,176-32,2,10.96,11523
201501,2006,사근동,213-20,5,20.58,9500
201501,2015,사근동,176-32,4,28.46,13428
201501,1986,사근동,176-23,2,15.13,5000
201501,2004,사근동,213-2,2,77.41,6000
201501,2007,사근동,213-26,2,30.78,8119
201501,1986,사근동,176-23,2,11.27,5000
201501,2015,사근동,176-32,0,20,12523
201501,2003,사근동,176-9,2,50.45,10571
201501,1986,사근동,176-23,2,15.13,7500
201501,2004,사근동,213-2,4,11.06,5000
201501,2014,행당동,168-30,6,45.71,23500
201501,2014,행당동,296-14,5,19.05,16428
201501,2003,행당동,4-34,3,31.49,5000
201501,2014,행당동,296-14,2,22.41,13428
201501,2005,행당동,01-22,4,46.36,21285
201501,2014,행당동,302-27,5,19.8,12500
201501,2005,행당동,1-61,3,92.87,10714
201501,2014,행당동,168-2,4,31.025,12428
201501,2013,행당동,168-29,3,33.37,17000
201501,2013,행당동,70-18,0,17.75,11476
201501,2015,행당동,12-05,4,20.2,14428
201501,2013,행당동,168-29,4,33.37,17000
201501,2013,행당동,37-92,2,13.64,7000
201501,2013,행당동,70-18,4,24.23,12428
201501,2001,행당동,1-84,2,25.65,13380
201501,2013,행당동,70-18,4,13.93,11523
201501,2005,행당동,1-62,3,92.87,13523
201501,2013,행당동,37-92,2,14.08,11523
201501,2012,행당동,37-34,4,13.17,12809
201501,2003,행당동,1-55,3,18.56,12523
201501,2005,행당동,01-24,3,79.51,11523
201501,2013,행당동,37-31,2,15.54,13428
201501,2015,행당동,302-22,3,29.64,17619
201501,2003,행당동,19-78,3,64.5,15785
201501,2003,행당동,1-64,4,90.34,10523
201501,2014,행당동,302-27,3,29.01,17000
201501,2015,행당동,302-22,2,14.22,7000
201501,2013,행당동,37-31,3,15.54,14476
201501,2013,행당동,168-7,4,23.16,5000
201501,2002,행당동,01-23,0,24.38,12095
201501,2014,행당동,168-2,2,14.11,12428
201501,2005,행당동,1-62,2,18.83,11619
201501,2015,행당동,304-21,2,29.59,18000
201501,2003,행당동,135-9,2,49.84,18000
201501,2012,행당동,37-34,5,15.78,15333
201501,1993,행당동,128-206,0,22.14,7000
201501,2003,행당동,1-32,4,81.92,10761
201501,2003,행당동,1-32,1,18.27,11619
201501,2013,행당동,70-18,3,13.93,13428
201501,1994,행당동,122-18,2,58.68,23000
201501,1993,응봉동,265-152,2,38.16,10000
201501,1993,응봉동,265-32,3,46,9000
201501,1995,응봉동,265-160,2,29.74,6585
201501,1993,금호동2가,675,1,26.28,6000
201501,2008,금호동3가,Jan-95,4,61.11,17428
201501,2015,금호동3가,587,5,43.36,22000
201501,2015,금호동3가,587,4,34.76,17000
201501,2004,금호동3가,912,4,49.71,15000
201501,1986,금호동3가,564-2,2,48.47,11176
201501,2005,금호동3가,952,3,59.88,19523
201501,1993,금호동4가,1132,4,32.24,10523
201501,1986,금호동4가,1348,2,41.22,12428
201501,2010,금호동4가,187-1,2,77.67,20047
